Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,12540.96037,13116.66462,14195.67941,15375.84246,15979.20691,15971.20953,16825.72898,18536.36359,19953.24497,22258.16461,23747.30093,24963.47045,26174.19659,26738.2436,26958.5715,26803.85445,27658.82755,28878.87179,27030.2563,28198.36974,29106.11681,29850.44111,30356.14404,31815.72432,29771.14438,29660.01022,31058.12232,32416.26295,34016.86982,37772.2323,40620.4163,39956.235,34572.38605,31488.39006,30447.94013,31072.4596,30512.15088,31312.41762,32161.36203,33584.5843,34314.65219,36521.09341,
Australia,AUS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,25233.74499,25351.52151,25060.88252,26112.69406,27392.13755,28467.77309,28488.11261,29903.72065,30878.00816,32368.50689,34013.27257,34199.2734,34890.11156,35258.74439,35788.16585,35827.46707,36387.87145,37274.59132,37174.04931,38261.47168,38944.73183,39611.10739,40252.66834,38869.73778,40192.80751,41728.13809,42707.07436,43136.3941,44872.49126,45824.47188,46763.4529,45987.79218,45620.57731,46996.77365,48353.96248,49605.96503,50857.40812,52286.43949,54112.50067,56212.03635,57730.48609,58057.07516,59647.65869,60675.33199,62408.30907,63563.50638,64383.00504,66441.74077,67505.64727,67409.42388,67741.1463,68451.67221,69902.63033,70485.85729,71201.36979,71722.84845,72567.68008,73044.92425,74017.79319,
Austria,AUT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,10861.65945,11400.47565,11630.93281,12034.69671,12686.89736,13043.4008,13683.11165,13989.75152,14539.72248,15398.94679,16315.26058,17073.42141,18028.23225,18805.41239,19513.50633,19494.18203,20422.76202,21451.9973,21424.1461,22610.28278,23001.75216,22910.06251,23354.08728,24087.31875,24101.18668,24691.80209,25244.01002,25570.42649,26375.83019,27277.91041,28247.24399,28929.12855,29211.50355,29124.23299,29709.26941,30455.24326,31128.74115,31744.46015,32845.30404,33947.27866,35008.9583,35317.12784,35724.22001,35885.31714,36638.80515,37206.66168,38301.80921,39600.90348,40053.66343,38444.97211,39057.23794,40063.52749,40152.64904,39926.87112,39878.01234,39833.53233,40225.74853,40936.57268,41692.69214,
Azerbaijan,AZE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603.020251,1567.279576,1194.833907,904.9743829,716.9375675,625.0981002,626.8619477,656.8527924,715.7126374,761.9589991,839.6104664,915.6105139,994.5851357,1087.842023,1178.149642,1492.245452,1984.642674,2461.923019,2666.099916,2855.985917,2957.35787,2873.156481,2897.689964,3027.578049,3073.662001,3069.179543,2942.061192,2905.117123,2919.996954,
Burundi,BDI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,158342.1287,133966.4304,143349.863,146402.3095,152405.7108,154965.397,158222.2214,175511.2965,170598.7765,164318.2851,195625.8459,198099.7781,183353.0734,194056.6586,190463.9756,188971.5141,200194.799,218317.4667,211071.5738,209184.778,205868.1506,224997.2538,216872.3865,219038.0599,213512.4914,232153.5172,233032.6198,238990.4873,244139.3958,240982.7239,243368.6434,249745.1522,246914.8418,227015.8825,214586.3402,194684.3192,176950.0128,172372.4529,178708.5276,174601.3018,170072.6964,169667.7691,172491.9313,165324.7478,167907.7883,164055.2124,167413.4174,167589.1804,170029.9849,170804.6805,173804.6536,175105.4819,177203.3448,180193.5979,182034.3291,169498.7067,163213.125,158892.9695,156418.3587,
Belgium,BEL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,10576.08818,11065.78826,11596.28597,12010.77823,12725.31616,13059.28504,13380.73444,13821.17145,14344.30892,15252.05748,16089.05148,16699.87051,17515.50687,18574.75519,19361.72625,18926.31402,19960.4743,20060.67163,20611.53564,21075.11537,21987.45889,21926.62976,22063.08558,22133.64605,22679.88703,23047.64569,23459.38496,23980.06084,25032.97616,25807.49618,26537.91752,26924.14287,27225.57635,26858.57572,27639.97729,28239.91687,28557.24784,29568.96725,30084.7554,31079.26636,32156.30289,32398.2727,32803.89556,33005.91849,34036.99616,34636.20247,35286.73512,36316.53444,36191.79992,35176.29289,35854.75806,35991.01272,36032.9117,36028.16888,36434.7777,36960.63116,37329.66613,37916.54586,38311.52993,
Benin,BEN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,234106.5928,238107.2276,226546.7308,233533.6912,244913.7295,253334.4255,257521.132,255240.548,259703.9524,261640.5253,261471.7147,252000.0071,262290.9571,265887.2307,268409.6486,249191.3522,245235.7421,250988.7846,247612.2949,256900.0115,267042.9226,285710.988,284095.8465,264194.4673,277127.7515,289521.2549,287344.6598,274874.2623,275865.3134,259809.3933,274117.3751,276213.5526,274659.5758,280688.8758,276715.2094,283935.7374,287042.0367,294449.5708,297188.7263,303957.1147,312309.2489,319158.5722,323971.536,325095.6878,329444.9913,325335.3545,328518.1742,338387.9416,345053.1516,343309.1388,340853.5405,341249.1293,347817.2208,362563.6558,375013.0507,372406.191,376626.4492,387800.5097,403216.292,
Burkina Faso,BFA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,89447.29507,91823.03137,96159.03275,93665.22076,94468.10763,96585.15967,95598.9378,102346.6541,103722.5043,104022.0494,102358.3744,102013.4537,102547.6534,101179.2656,107576.0821,108740.1843,115773.2782,113933.952,116777.0191,118500.9832,116798.5109,118939.0545,127161.138,124426.2369,119124.3818,125980.8736,132525.5241,128811.5516,132750.5732,132072.3383,127831.2123,135742.682,132443.4248,133364.6852,131483.1243,135234.3203,146035.9558,150998.4343,157554.3485,164510.8716,162812.0624,168687.3287,171039.7847,179117.4935,181740.0269,191723.8493,197713.6505,202696.6544,211002.1212,210775.5092,215495.6897,222965.3553,230343.8136,236528.1567,239560.6691,241680.9115,248600.4716,256852.7989,266646.3701,
Bangladesh,BGD,GDP per capita (constant LCU),NY.GDP.PCAP.KN,19592.40505,20211.33869,20730.02407,20062.3896,21622.03433,21317.46223,21186.58707,20128.30482,21356.72523,21010.00655,21654.31247,20061.99885,16975.18333,17277.33779,18630.28968,17530.97339,18113.43412,18139.10268,18910.88492,19287.45395,18930.14138,19771.23563,19672.43492,19911.55674,20331.25741,20467.27771,20766.97358,20990.9535,20947.44232,21004.85575,21653.27229,21892.89699,22574.69023,23131.2874,23522.30229,24204.74216,24766.20216,25337.48094,26101.32479,26773.22745,27645.36524,28506.18803,29065.01835,29920.06854,30983.23635,32521.8152,34227.432,36196.68015,37936.35426,39407.71629,41138.10138,43299.12518,45593.2189,47779.14093,50099.34777,52789.07325,55930.50591,59365.81572,63365.30113,
Bulgaria,BGR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,4762.855408,4979.619827,5080.82035,5242.010437,5407.385768,5552.571556,5787.736358,6129.132498,6792.310203,6646.160695,6150.143922,5686.787842,5330.154374,5293.311626,5407.87788,5587.384219,5655.851264,5628.430855,6025.855581,5550.22371,5843.524469,6185.756227,6696.838307,7098.145197,7612.176455,8216.063461,8847.810202,9567.72248,10215.33225,9912.655655,10110.24259,10370.12774,10433.59822,10543.97625,10798.92989,11245.30527,11770.27148,12308.44437,12781.12746,
Bahrain,BHR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,7965.561786,7255.147546,6501.354321,6732.669112,6882.560255,6364.353834,6230.891621,6641.499562,6858.518953,6656.141613,6743.470362,7297.277935,7587.125253,8353.990787,8130.336273,8238.287945,8355.014291,8377.949544,8510.754603,8558.193738,8631.16921,8428.502821,8265.201742,8294.135928,8326.372186,8296.894611,8195.161193,8210.90259,8107.318859,7819.18628,7791.523621,7714.237207,7867.698814,8198.731739,8420.635069,8435.835962,8398.629252,8319.63477,8060.842123,
"Bahamas, The",BHS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,18156.84486,19118.47716,20075.64271,21099.72037,22204.75223,23408.05369,24428.77235,25679.16808,26783.92775,28190.92497,25795.9411,25535.28499,24091.24163,25393.12613,20727.27994,17305.99411,17824.6659,19042.69506,21270.50607,26243.53709,27336.72077,24268.85495,25323.2787,25663.06145,28683.16302,29471.64441,29444.06969,29792.58823,29965.82266,31437.71053,30393.77215,28588.86892,26976.23755,26556.15766,26918.0173,27661.6784,28444.80382,28689.92685,29708.22135,31455.54339,32322.25357,32670.33025,33004.03042,32017.47523,31716.21291,32190.95054,32385.65339,32235.19439,30909.62259,29117.25838,29120.67324,28921.48274,29485.67594,28335.91163,28277.75724,28175.12279,28021.91405,27759.27871,27910.33088,
Bosnia and Herzegovina,BIH,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091.776923,1355.884552,2606.031221,3528.814569,4081.202606,4462.223479,4697.829347,4898.87119,5153.194224,5355.35326,5678.977343,6174.548483,6508.879663,6894.843064,7285.494062,7101.406565,7214.727004,7368.33939,7430.860598,7739.457573,7964.324812,8336.553661,8708.221736,8985.686771,9388.597266,
Belarus,BLR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3967.856461,3918.319541,3534.532821,3258.572009,2880.695101,2589.458338,2670.871437,2987.996975,3254.429069,3379.263206,3592.144503,3781.231114,3997.369401,4308.961065,4835.198033,5325.959376,5894.536792,6430.907808,7111.381777,7141.509231,7711.549438,8141.266727,8286.210728,8368.032443,8504.847374,8166.129167,7949.832101,8153.942657,8414.038185,
Belize,BLZ,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1879.829249,1916.849519,1955.281155,1995.235813,2035.947763,2074.930031,2109.746038,2147.700813,2238.990703,2290.177845,2342.899118,2384.70427,2579.657884,2672.65225,2988.534503,3050.535044,3006.918393,3159.206944,3360.961393,3553.764552,3951.57277,3903.998029,3798.527104,3614.016965,3581.288734,3517.218878,3576.116817,3852.072747,4117.887425,4540.94893,4950.418571,5414.695911,5967.884564,6236.565767,6120.757636,6002.943038,5897.722592,5888.611337,5879.008356,6161.144074,6728.847421,6851.685662,7001.681543,7454.578454,7601.352241,7596.860465,7739.592694,7623.764568,7669.908384,7529.167819,7595.414682,7577.029224,7620.490533,7513.903938,7622.648755,7718.960029,7518.037188,7476.541971,7556.643364,
Bermuda,BMU,GDP per capita (constant LCU),NY.GDP.PCAP.KN,25406.46983,25952.52466,26472.60546,26138.85084,28330.16852,28967.81785,32544.02663,36155.33104,36219.95825,36770.8409,38381.16163,39991.36032,41016.76838,41934.80775,42619.53078,44559.26135,48359.72257,51019.90206,51567.97282,52479.81789,55747.28582,56680.62669,53298.51657,53901.66824,53687.91418,52173.06355,55181.86599,56789.01197,58588.13904,58354.11876,57888.18356,56130.76624,56505.07596,57893.83864,57838.43555,59952.29311,61119.53313,63542.14263,65537.12901,67375.9196,73000.67925,77432.8203,75793.77543,77867.69838,79156.46376,79962.34062,83912.6978,85815.31254,86612.58101,81582.11957,80501.65837,78488.22873,74423.94827,72328.45649,,,,,,
Bolivia,BOL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1667.304485,1669.269863,1728.091629,1809.307037,1843.556596,1895.294254,1989.985449,2072.385155,2202.652251,2253.109226,2320.865619,2386.364249,2521.114539,2608.136493,2626.430447,2756.953477,2820.982017,2896.200042,2891.124479,2832.717424,2735.018956,2686.156421,2528.321591,2377.679548,2325.359594,2240.003334,2137.495186,2144.702073,2160.989783,2195.906929,2249.59817,2318.556938,2307.540791,2356.068838,2415.190698,2476.588679,2532.462763,2604.954634,2682.137092,2641.292803,2655.685899,2649.426269,2664.786875,2686.940556,2748.699394,2819.473271,2903.418635,2984.172102,3114.536776,3165.902512,3242.811081,3356.665368,3472.594442,3650.654274,3790.976561,3915.423658,4022.394596,4130.840981,4244.528167,
Brazil,BRA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,6011.806416,6439.360725,6580.170226,6447.428591,6483.519095,6496.454312,6582.672435,6722.714301,7296.073935,7802.718789,8275.835454,8986.703236,9830.209501,10941.36906,11651.91256,11971.88075,12835.73449,13112.35583,13219.13767,13783.45569,14688.41897,13716.22616,13476.48983,12720.27578,13093.67707,13832.06803,14630.41637,14857.69657,14559.71423,14759.65057,14045.00733,14008.70629,13707.25966,14109.85109,14621.69791,15023.70324,15113.31308,15383.93369,15201.73152,15048.32483,15486.50593,15488.57643,15753.34968,15733.98307,16441.55241,16774.70881,17250.23055,18108.37858,18842.56641,18638.70041,19854.75871,20455.6445,20663.16901,21098.94093,21024.57281,20109.66934,19285.45303,19333.93317,19397.36354,
Barbados,BRB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,22320.79327,21762.37573,22580.17633,23275.30314,24286.91145,26084.19789,27112.37193,26502.3806,25125.74681,25181.7197,26015.96105,26223.0599,27471.05291,28083.20317,28960.1007,29889.55866,28792.50084,27567.24767,25900.96087,26008.62533,26429.53947,26854.16706,27807.63081,29002.15148,29955.14896,29931.48482,31140.08434,30293.57798,30428.8196,30988.33882,31316.74925,32433.05841,34128.95483,34610.6925,34770.99155,32945.10217,32112.74195,31761.17631,31660.20444,31161.18412,31050.64513,31679.77457,32348.2484,32242.9629,32036.58932,
Brunei Darussalam,BRN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,62219.56833,59908.73869,69177.95887,73860.78105,76040.4012,90018.09983,81010.16356,62954.14931,63525.48904,62034.47679,60662.05386,58087.33298,54927.61622,54463.19797,53519.67603,51459.5511,50559.81501,50683.30604,51605.92423,50331.75649,50520.76738,51422.61623,51598.83232,49644.1787,48255.34242,48651.01468,48992.73183,49320.25621,50233.10466,50739.19863,50123.96413,49535.2709,50994.5455,50432.92201,48873.86123,47450.56837,48090.03566,49252.19971,49041.45227,47354.1186,45637.90819,44817.2723,43202.80491,43294.8621,42864.16979,
Bhutan,BTN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,11242.97468,12462.46175,12562.73071,13637.493,13880.93548,14067.05928,15243.54819,18997.9626,19349.36083,20284.3781,22125.147,21877.13247,22888.64177,23427.4463,24619.76912,26227.13296,27336.71301,28270.8857,29270.73806,30869.09253,32275.36894,34238.9819,37239.01877,39396.34865,41045.99969,43363.47183,45786.818,53585.11932,55593.60178,58758.19791,65088.43473,69493.96461,72188.28503,72820.31734,76082.17716,80152.57399,85627.48447,88545.95952,90159.50878,
Botswana,BWA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2174.030174,2267.110994,2367.036034,2451.460467,2560.690342,2650.919474,2760.096614,2862.914575,3097.273962,3481.966792,3971.445162,4852.872064,5941.486781,6968.821966,7318.837238,7651.762516,8151.732969,8782.46572,9656.0021,10420.88085,11243.79519,11834.14319,12826.2519,14027.99685,14705.48961,15191.50799,15821.28543,17027.34153,19573.74988,21340.12257,22036.91244,22974.15748,22998.71864,22843.7263,23095.56301,24128.45585,24931.71532,26381.68012,25903.46384,27800.03776,27782.05769,27330.38829,28479.64558,29285.87377,29547.96993,30318.21728,32194.9126,34124.46548,35495.23454,32143.768,34306.25432,35870.39935,37025.20006,40765.7108,41927.08658,40591.29087,41569.30416,41901.40654,42816.14528,
Central African Republic,CAF,GDP per capita (constant LCU),NY.GDP.PCAP.KN,250907.6574,259126.4074,245347.9905,239377.7266,239914.9331,237596.252,234366.7346,240260.2116,238620.2452,250562.0169,251836.9605,250618.5759,246958.1568,248028.2112,259702.825,256230.3184,264922.0286,269221.474,266245.5578,253239.3612,235454.8331,225155.248,235165.6059,209507.3032,222887.755,225828.81,228903.2748,213562.9656,213414.908,213531.9736,204405.1912,198207.1274,180414.4718,175854.4969,179242.2046,186922.2157,174803.2862,179499.0384,183444.531,185640.6411,176921.2787,180768.8732,183359.95,169929.9775,176537.6432,174677.8784,179470.5237,184164.6399,184633.378,197518.2271,204349.7627,211385.8213,221178.8122,140322.8729,139925.9662,145052.6021,150452.4221,155267.5484,158721.8521,
Canada,CAN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,18197.26555,18400.96337,19403.05375,20063.76904,20996.88588,21922.74741,22960.93765,23248.59614,24019.34523,24890.46281,25271.49124,25511.50708,26606.4507,28079.78376,28598.84549,28596.33998,29881.63043,30549.39963,31360.94576,32204.4934,32477.13755,33193.4915,31755.5008,32261.09096,33846.19092,35127.16632,35525.73316,36488.51783,37606.90644,37794.03285,37289.80606,36060.96089,35957.4546,36510.78985,37736.17476,38353.84402,38569.57205,39822.63935,40597.96806,41868.19391,43519.98566,43654.84095,44660.46388,45946.49314,47301.45441,49197.71198,50732.0376,53692.65449,53649.54205,51487.24025,52491.05001,53615.5705,53971.20424,54648.35666,55653.59124,55620.87548,55603.45065,56584.59006,56851.14081,
Central Europe and the Baltics,CEB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,51161.86937,52968.23831,54248.27816,55491.63132,55996.61652,51940.99822,51505.4782,52938.10443,53149.89318,54364.84976,56641.3524,57234.40333,56155.89143,56272.96248,57758.12101,59616.16805,60409.03079,60982.55625,62520.13818,64702.49301,66394.76487,64969.608,64229.13699,63566.66321,63862.68454,63742.43022,63804.18248,65140.20345,66888.77422,67698.73152,69969.67994,70440.72907,70023.55985,69533.4666,70974.34504,72718.01124,75145.46658,77539.20703,78209.88935,75522.41711,76984.17769,77421.69006,77374.65613,77906.65899,78846.82694,78993.80807,79481.87086,80160.60421,81739.67773,
Channel Islands,CHI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33801.93266,34825.08762,36633.7552,35921.24133,35217.06747,33982.14245,33911.89651,34161.06679,35517.47468,37216.43084,,,,,,,,,,,,
Chile,CHL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1959813.088,2020179.829,2058615.99,2135143.737,2147181.881,2127134.786,2323949.261,2366803.084,2411230.845,2465444.714,2470036.778,2659397.64,2590342.24,2421209.236,2440148.937,2092270.558,2139221.833,2326771.551,2468358.293,2636749.693,2806327.165,2947464.449,2586664.52,2423033.676,2486926.975,2548854.889,2645225.632,2772216.784,2928406.253,3166979.081,3219335.86,3413844.591,3732942.502,3914665.27,4047321.58,4343111.487,4572904.495,4846508.864,4991450.097,4910209.278,5111247.355,5220944.406,5325395.543,5485467.898,5820237.193,6090686.205,6407429.378,6650292.697,6811641.91,6634440.663,6949591.444,7301087.04,7615706.761,7846578.883,7900920.866,7988300.654,8014828.899,8002486.427,8209564.888,
China,CHN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1483.494071,1089.958051,1020.729312,1098.531898,1268.463747,1448.558822,1558.771028,1431.551968,1337.478223,1521.7739,1766.024687,1839.476766,1863.207965,1962.466513,1966.744801,2100.80679,2036.074169,2160.559778,2369.202723,2515.482608,2678.058281,2780.729602,2984.888861,3260.848294,3705.573682,4146.874468,4450.895604,4892.075771,5354.763462,5494.025015,5625.530682,6065.05102,6842.890506,7702.770043,8610.277187,9449.803235,10279.70243,11114.26501,11870.90265,12670.91483,13638.97294,14669.50668,15902.02617,17389.24159,19034.12039,21078.87073,23627.69327,26849.647,29291.31956,31885.66047,35107.10086,38276.30871,41084.02141,44057.62639,47034.87425,50027.92404,53109.78475,56382.2886,59811.59536,
Cote d'Ivoire,CIV,GDP per capita (constant LCU),NY.GDP.PCAP.KN,575389.9852,610245.9782,594927.5389,655433.3312,741947.6556,692440.5593,744956.9891,751700.4537,815694.7572,859874.813,911028.8486,954762.3354,951074.9679,961772.4397,957531.0357,989496.2115,1067121.464,1094237,1160153.548,1136054.734,967784.0898,958695.858,919927.7903,847319.0727,791109.9529,794370.8747,789298.4766,757803.6467,739022.3432,733842.1105,700089.068,675587.9056,650264.8651,626556.2131,610310.9896,632421.0746,659683.3444,663322.1615,675546.3642,667498.5843,636923.5406,622623.2382,598791.4663,578298.0558,573339.1565,571005.6514,567285.9081,564762.1419,566293.5424,571484.9191,569562.1915,531736.8932,574501.0485,610267.7998,647513.1493,687219.0962,723421.1853,759539.5006,795432.9988,
Cameroon,CMR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,411017.0991,407375.8325,410924.9803,417081.6754,422314.8575,421131.6342,430402.9466,374406.9289,388601.7586,397666.0668,399733.4949,403137.5958,403217.1457,413628.7024,445740.2064,482303.3616,443112.1394,489736.2006,580311.8092,597351.2219,568233.5891,645308.6336,672749.0069,696922.294,725882.7871,760035.1451,786157.1439,745223.986,665562.614,633416.6893,576855.2167,538527.1747,506737.173,453319.8073,450110.5201,453091.9636,460300.8711,471763.8149,480303.0498,488029.8868,492297.2212,500416.1129,507949.4082,517134.9773,537533.615,533734.4594,537333.9097,548429.0786,552162.9576,548983.5701,552383.8621,559644.545,569307.1075,583982.1975,601862.7751,619050.5704,630818.8726,636202.8236,644977.2819,
"Congo, Dem. Rep.",COD,GDP per capita (constant LCU),NY.GDP.PCAP.KN,357743.5682,310980.8606,367430.3673,376709.8781,357907.4802,351778.2611,365263.4093,351497.4513,356348.5972,378661.9241,367329.0032,378915.3576,369475.0828,389057.7749,390582.8634,361055.6845,332355.1642,325373.1322,299252.9189,292258.0446,290794.2268,290129.1771,281747.6177,278818.693,287034.519,281027.7971,286586.4655,286369.6909,279601.7045,267639.374,241771.443,213419.192,183716.0545,152902.0048,141692.7144,138143.2984,132953.2028,122421.7359,117686.9786,110037.2534,99853.21246,95086.12914,95056.45988,97326.03118,100667.4048,103494.9629,105549.2258,108557.2228,111579.2849,111020.7491,115016.2086,118888.128,123134.5624,129202.095,136819.7033,141529.8647,140245.165,140808.2088,144187.48,
